"staff_id","salary","currency"
"STF2004","15000","USD"
"STF1001","8000","USD"
"STF1002","7000","USD"
"STF1003","6000","USD"
"STF1011","11000","USD"
"STF1012","9000","USD"
"STF1013","5000","USD"
"STF1021","7000","USD"
"STF1022","8000","USD"
"STF1023","12000","USD"
"STF1026","12000","USD"
"STF1055","10000","USD"
"STF2001","13000","USD"
"STF2002","4000","USD"
"STF2003","3000","USD"
"STF2005","2500","USD"
"STF2006","4800","USD"
"STF2007","5200","USD"
"STF2008","6500","USD"
"STF2009","9500","USD"
"STF2010","14000","USD"
"STF3333","6000","USD"
"STF4444","7000","USD"
"STF5555","8000","USD"
